,Al-Shayeb B,Barendregt A,Batey RT,Bhuiya A,Cate JH,Cofsky JC,Coyle SM,Doherty EA,Doudna JA,East-Seletsky A,Ehrenberg AJ,Escajeda AM,Fletcher DA,Floor SN,Fraser CS,Giannikopoulos P,Gildea HK,Harrington LB,Harris AR,Haurwitz RE,Hershey JW,Hirsh A,Hsu PD,Ke A,Khalid MM,Kidwell MA,Kornfeld JE,Kranzusch PJ,Kumar GR,Lareau LF,Lew RJ,Lobba MJ,MacRae IJ,Moehle EA,Mok A,Mortimer SA,Noland CL,Nuñez JK,Oakes BL,Pestal K,Staahl BT,Stahl EC,Sternberg SH,Switz NA,Szostak JW,Taha TY,Tan MX,Urnov FD,Watters KE,Wiedenheft B,Wright AV
Al-Shayeb B,1.0000000000000002,0.22106041975348253,0.3628403201441938,0.33170057810363185,0.33760664465009327,0.47163719897063433,0.28494121913988874,0.372405946773891,0.4033431359780125,0.39084665479923486,0.3906256670524643,0.38550167443278693,0.25505237581558615,0.26881760755210843,0.3522085655594814,0.3013943904828819,0.5577830850504942,0.6112557247001705,0.31039622439422776,0.3401955208835915,0.2953727983582601,0.47893595390388055,0.277462775452336,0.3191772769194179,0.23655207126343972,0.3626632761567896,0.36404004246068083,0.46558285143911526,0.2072847544466815,0.3820469226771481,0.6289106664456757,0.5290535467044897,0.409007379899719,0.382966124599627,0.47628416775575677,0.3062851750277027,0.377943522598294,0.6082681983428394,0.4791813802915785,0.49030676528168715,0.49305218677885887,0.5623145090744638,0.42462991331668215,0.2590469394303266,0.27634936173367314,0.242555499142729,0.25071373214884163,0.3523727719542785,0.6739056641484016,0.3065661457516264,0.42292417311187597
Barendregt A,0.22106041975348253,0.9999999999999997,0.45057883123540915,0.2297875826593925,0.4467542240280235,0.21222594025932928,0.4299005076151882,0.3869517454359105,0.44491195334289557,0.340388740542501,0.22912349752723532,0.2966099093261874,0.3192490176093294,0.34280387102320264,0.40970197911136597,0.3613019872947641,0.2971981311019919,0.3062990472893333,0.3145475616273585,0.5061401817079059,0.369686393556401,0.2594226867889674,0.2563676707196341,0.3255434152426324,0.2621770084697555,0.3843958768331966,0.6387807538338396,0.25602459738715366,0.33506299213810126,0.24766488553634453,0.2517051677756109,0.292950101970197,0.33021420690962194,0.18011585071607933,0.3376718291298948,0.3822724250531467,0.4174438722744218,0.3253829574758474,0.3147725837102059,0.21572966610122843,0.3973843086528424,0.2305649538180901,0.4367289276392924,0.3226561470939596,0.40624590794787624,0.2845112128565427,0.2327551198171256,0.32210339969731694,0.3173961834006373,0.5826361882579892,0.3321897805945858
Batey RT,0.3628403201441938,0.45057883123540915,0.9999999999999998,0.15836086901386076,0.5451312296980104,0.4016292802671803,0.46256428318317383,0.880980033453379,0.7037651236861414,0.4869451053556597,0.30836120161909025,0.25356337133593176,0.43290692125654356,0.4701103776031871,0.4889855501664992,0.4827737611455761,0.2661907325779881,0.33202665231795564,0.2214252266805026,0.4210680659073669,0.4984173634812461,0.24433428791267892,0.32589970104810917,0.4796309484295206,0.18113333927121877,0.5749509275521508,0.4323614406546039,0.4362843460648174,0.32144898192207766,0.3210817179633414,0.39868451794173654,0.3763414980634647,0.49699543692275233,0.32936293124643845,0.4067329246580128,0.5264724750555766,0.5782557625477273,0.39966214258431065,0.3561731970790075,0.23003023950608348,0.4213329192717516,0.2815523620505257,0.4464501559390179,0.33896591309301477,0.5255145238153026,0.18990822559316278,0.33435106038654056,0.3793374909973015,0.5071456644440977,0.45484090635786584,0.3826107656691582
Bhuiya A,0.33170057810363185,0.2297875826593925,0.15836086901386076,1.0000000000000002,0.25734764121941245,0.3501868463280464,0.24235574498699203,0.157341076726322,0.22331012709349374,0.3965825298835896,0.32405579566280907,0.6750572589444799,0.5288960157883804,0.22256007169471828,0.31245529346138584,0.15603966532889957,0.3714153165559605,0.29249397595802135,0.7078161928685239,0.24886474951956922,0.22498761109732365,0.41018664330475574,0.3671868155155279,0.337844288849762,0.48831232393497326,0.2480541215880307,0.21100759181387296,0.27586862941856505,0.5594023338363316,0.4114280357787468,0.4519605724867528,0.4588825015934905,0.2704866723131421,0.2507819911497216,0.5397076662028878,0.20585491732885544,0.27406117773252986,0.33143280810341985,0.3484599824478668,0.42497026856699804,0.27047575727340545,0.39231450939091556,0.29557748853536636,0.7258355898831679,0.5463497267952823,0.431053354271463,0.4121603535685752,0.30138576546517015,0.3475041638371412,0.22264829204364,0.3427143516277079
Cate JH,0.33760664465009327,0.4467542240280235,0.5451312296980104,0.25734764121941245,0.9999999999999999,0.37013841935221137,0.394594096485203,0.4898140576092586,0.6081385412958494,0.4112474512492595,0.28052328575268626,0.40577947138838744,0.344287813297384,0.30819114209018983,0.46212719792462714,0.35626340438307746,0.2106040071124463,0.44581030250922393,0.09134705892858366,0.37035254718698213,0.44128518169913844,0.2871975284571689,0.27869952139776233,0.4233881458352986,0.0802781600317252,0.4492199686083749,0.3309242507400267,0.4558070839352835,0.15080511351859271,0.28127922373797737,0.34114857922612757,0.27544601680033404,0.4507915972554224,0.26172216669092246,0.3964915974737482,0.4366680406555016,0.4765479917063064,0.4404532460899226,0.36519196961601963,0.1944595310386016,0.39277207562387884,0.30288727668919363,0.38257441514983936,0.23440686190256288,0.4333855985432104,0.1531835681442644,0.29142394951598133,0.3896948809814999,0.4900921597212849,0.41130941454660686,0.47175415188897496
Cofsky JC,0.47163719897063433,0.21222594025932928,0.4016292802671803,0.3501868463280464,0.37013841935221137,0.9999999999999999,0.33589514117840336,0.4287984644024799,0.49131632604043335,0.7133672270213716,0.2368358313900527,0.4102483856452,0.3030274426870211,0.3678099331084757,0.4025803930592235,0.3492220699941897,0.2460470757593208,0.5410724680798372,0.3074925280182502,0.4327962634054896,0.32934653022013566,0.20336942576198525,0.22843022713565972,0.4311018998457507,0.14172305558235448,0.48545574508946504,0.3359847974237721,0.7006944760546331,0.2868121125526578,0.11207226617786595,0.4020090439766922,0.31765987065961176,0.44967879600840205,0.2779328960456684,0.44510659623790716,0.3226668261927699,0.45884259392331006,0.6425778206190225,0.5149155693293559,0.20425015190696436,0.4957539929124185,0.2820964845952411,0.5811963396308512,0.3109102538491287,0.4050640232067135,0.16498575016528258,0.17570560278370942,0.2515233510013044,0.4507112328394981,0.46082713065521247,0.7234700739887676
Coyle SM,0.28494121913988874,0.4299005076151882,0.46256428318317383,0.24235574498699203,0.394594096485203,0.33589514117840336,1.0,0.4301256955037089,0.5123733351378985,0.35052207091497967,0.25272025860319586,0.3483373319937856,0.36630718281141283,0.278650770915809,0.5236319083149149,0.4257115766325702,0.24092171607219062,0.3239169560907452,0.22821058299542024,0.6109110060115426,0.6545868964764124,0.20464383329658836,0.2373278950135432,0.38008391291949867,0.13743287422964717,0.44860504820699715,0.4228692398813335,0.3683350381462046,0.2040951914045311,0.24500830350434766,0.3220812172375526,0.4047813127061876,0.4209308556272585,0.32278057070367755,0.3078046806141285,0.44700820300254523,0.506484023944381,0.332736591214346,0.4259347946070365,0.25510723976972144,0.34665315967551863,0.20542302509571478,0.4218679856716551,0.2606154204294202,0.44996325631988543,0.15157418114177934,0.24667327653196708,0.29827603218585264,0.41217556171103154,0.48972291989327865,0.36368267832174495
Doherty EA,0.372405946773891,0.3869517454359105,0.880980033453379,0.157341076726322,0.4898140576092586,0.4287984644024799,0.4301256955037089,0.9999999999999999,0.7436972434472738,0.49571275340102783,0.30875194901218156,0.23609548561433813,0.46251313386488085,0.4300609050780536,0.513510766474746,0.4841204191792657,0.2976875173069023,0.35930751438071795,0.2580965656269383,0.3872153451548065,0.5226894074434751,0.23041602591562405,0.3546962733072329,0.5067806899179644,0.18474155158116348,0.6010366428816943,0.4540915040239633,0.45233071450487533,0.29310296069749886,0.3578627840913107,0.40217812601461234,0.37451571029339353,0.5306309643920609,0.2992891537620719,0.41229295482585065,0.5528936392929024,0.6180884715203712,0.41887629335885385,0.36433860706153476,0.27254119381762554,0.46261233203520014,0.292573066802325,0.47007127839178625,0.36096467349142175,0.5517512728283767,0.1938443085852061,0.3496953929646127,0.34770193384960957,0.5360980514033984,0.45237051546657403,0.4324152866890987
Doudna JA,0.4033431359780125,0.44491195334289557,0.7037651236861414,0.22331012709349374,0.6081385412958494,0.49131632604043335,0.5123733351378985,0.7436972434472738,0.9999999999999999,0.6274290881353841,0.3443827470435439,0.39557211497065115,0.5138858085365628,0.5468223022663945,0.6009171242365291,0.5759382546213478,0.23475522677009586,0.4100679058290684,0.2181283509399575,0.46076244402474464,0.6137073889963076,0.20896610203530505,0.40795919069155,0.6233763724785821,0.16854550951809905,0.7280706347332421,0.6209774796211468,0.549278812535582,0.30326745832810365,0.3393887560525381,0.49352296199229084,0.4232687128213335,0.6441643147593271,0.3458650094101747,0.415662061099354,0.6888318270900666,0.800418483219304,0.46771178517256573,0.4645936090893093,0.21262567430647347,0.514691919988777,0.24336473829672953,0.5830787580787531,0.34748477004752254,0.6314153773316946,0.16301936789141325,0.3556516217745953,0.3998433328863564,0.6357516535046905,0.5383007711888032,0.49956001784118265
East-Seletsky A,0.39084665479923486,0.340388740542501,0.4869451053556597,0.3965825298835896,0.4112474512492595,0.7133672270213716,0.35052207091497967,0.49571275340102783,0.6274290881353841,0.9999999999999998,0.17885126806651025,0.4995717209405126,0.41983731647146055,0.4100263965124009,0.4329869864854523,0.357133733387958,0.24624179777557056,0.5508446878771343,0.3406775750081503,0.5907912206959965,0.42624707582603544,0.1081147019802447,0.34283824253637396,0.43368205381770997,0.20325004435994232,0.6714849786211365,0.49294422072358957,0.5517875795757798,0.3008430157731703,0.21350328141691374,0.5163247259393017,0.3715739653086914,0.46262114828437906,0.2566384470792369,0.5632545680630613,0.3999033663836656,0.6264514168365651,0.5602169289898481,0.6036855702392084,0.22367013998535765,0.4202012325682549,0.2971427788242044,0.7479435715809815,0.420354057558264,0.4730660813993454,0.1760336872019689,0.21313491724502256,0.30073769417612684,0.4820670511597646,0.5358187225077918,0.5994942773325465
Ehrenberg AJ,0.3906256670524643,0.22912349752723532,0.30836120161909025,0.32405579566280907,0.28052328575268626,0.2368358313900527,0.25272025860319586,0.30875194901218156,0.3443827470435439,0.17885126806651025,1.0,0.3373581048187452,0.33871476331918726,0.3178832241969445,0.22307163575361216,0.646423376190509,0.47738287072293517,0.25152570084559206,0.44367507558854324,0.13579062310919876,0.20022760730418718,0.7660003043908049,0.24397615826726873,0.27071897010625545,0.5102528694996153,0.325090757760508,0.26612796221754775,0.26938542888245753,0.3847812754037667,0.3057459203788157,0.326593407827517,0.3020127620935275,0.3306657465885942,0.7807977978928569,0.31407003661271016,0.31269345097074636,0.30301990950171515,0.31428564846760126,0.26192852166589053,0.5515482627887062,0.2920046690755997,0.35422569231714246,0.18754380378173277,0.3191383276949836,0.32168724594688897,0.5321836867172295,0.3657540361439726,0.7485271103737138,0.3362821835977584,0.21224886549923813,0.2359859165662449
Escajeda AM,0.38550167443278693,0.2966099093261874,0.25356337133593176,0.6750572589444799,0.40577947138838744,0.4102483856452,0.3483373319937856,0.23609548561433813,0.39557211497065115,0.4995717209405126,0.3373581048187452,1.0,0.423868785806096,0.33275391147006417,0.4439048212551746,0.31336585983483106,0.2809581395824455,0.3985294439395221,0.44603820365580493,0.355149180844427,0.32890974355328695,0.31969425455664735,0.2897349920788525,0.2898021178259217,0.3054557127456008,0.32549429541885533,0.33874342636469745,0.30476485534334524,0.4400873548126194,0.31507403832459463,0.4379285130114268,0.4127075088647737,0.3537922432559377,0.3576171682475638,0.6316535548425503,0.33481807511993045,0.3631779158589984,0.37002154224018,0.43032974454154405,0.3883557233395281,0.3604136829297418,0.23437569421254828,0.39082662942271185,0.5552392594068196,0.4383680557823584,0.2990057633705967,0.31666976367027105,0.3668185061711495,0.582858631735846,0.27785499918172024,0.34229715104026637
Fletcher DA,0.25505237581558615,0.3192490176093294,0.43290692125654356,0.5288960157883804,0.344287813297384,0.3030274426870211,0.36630718281141283,0.46251313386488085,0.5138858085365628,0.41983731647146055,0.33871476331918726,0.423868785806096,0.9999999999999999,0.3431394471471339,0.4035574967196279,0.3274881972857828,0.45223306721144413,0.334111352652022,0.4821137559737252,0.35540275809865424,0.4074606769608079,0.2589019560007828,0.5530958779706322,0.3910282172653232,0.3708787642817032,0.43598197916411774,0.4256380629105861,0.38072953677754606,0.5266461755957735,0.7044046290659532,0.3700279339231039,0.4011494086956891,0.4058258491908215,0.3019412683847721,0.48395768808970635,0.3824594363685264,0.5029670515255049,0.3752626747339009,0.35808641606245484,0.5140896245631155,0.33046684462490034,0.32976226211385534,0.4123761164480517,0.7562279053021379,0.4568071701334391,0.3676184535433775,0.7496619127581922,0.33071032103706716,0.4797553347800601,0.30072418173158605,0.3568461545290448
Floor SN,0.26881760755210843,0.34280387102320264,0.4701103776031871,0.22256007169471828,0.30819114209018983,0.3678099331084757,0.278650770915809,0.4300609050780536,0.5468223022663945,0.4100263965124009,0.3178832241969445,0.33275391147006417,0.3431394471471339,1.0000000000000007,0.42658991304808563,0.42245054015561184,0.15680220112627288,0.26835475398780617,0.2623830689505678,0.2879701464706926,0.4357789027202546,0.282521017587081,0.2806007606715298,0.4073815246564194,0.48289758937271554,0.46965276200529443,0.41373303218604096,0.3506140599876501,0.4062724293162478,0.22447301273825607,0.4048408079645472,0.31560487839276063,0.4116131977138088,0.3379154852022969,0.33675355533676027,0.3970247270916598,0.46217897990403545,0.2979599311656861,0.3261351399338904,0.19467040375210592,0.4383839425259125,0.24527631121267476,0.3818857208828109,0.344340813994976,0.4428595652981522,0.3045664868337716,0.26272289088672934,0.31361640431777904,0.39069929327988023,0.3824430073972055,0.29266410803647935
Fraser CS,0.3522085655594814,0.40970197911136597,0.4889855501664992,0.31245529346138584,0.46212719792462714,0.4025803930592235,0.5236319083149149,0.513510766474746,0.6009171242365291,0.4329869864854523,0.22307163575361216,0.4439048212551746,0.4035574967196279,0.42658991304808563,0.9999999999999998,0.4923867319240301,0.2881162004034722,0.2903377008944064,0.25072569923906785,0.36075735048466145,0.8614817137855256,0.1805027057385525,0.34017065620622783,0.4836053507650608,0.16842540706003406,0.46693251516274603,0.42807051670240076,0.4423109136590091,0.3515373503566908,0.3538452168724449,0.37434409591096474,0.34571029537854064,0.47816445327506535,0.3047652384324876,0.48168834244359243,0.5574598904218926,0.51126258831854,0.35928368411046485,0.32450927156025505,0.2786516450407519,0.36257731906324825,0.19312290714146133,0.3808713176207331,0.3357034245342163,0.4854725960707327,0.07704479623352577,0.17428282625749425,0.33140564192183825,0.5280282720354228,0.33537454943700945,0.4256941861335228
Giannikopoulos P,0.3013943904828819,0.3613019872947641,0.4827737611455761,0.15603966532889957,0.35626340438307746,0.3492220699941897,0.4257115766325702,0.4841204191792657,0.5759382546213478,0.357133733387958,0.646423376190509,0.31336585983483106,0.3274881972857828,0.42245054015561184,0.4923867319240301,1.0,0.4101106047159066,0.2475850591452534,0.31635180873688284,0.32540581836576277,0.46567808612115075,0.4370857834859144,0.33691176517331156,0.3855500510926167,0.274467382757121,0.47189427618711527,0.4106468607308024,0.3737006644138201,0.28753578728330476,0.2778601976115693,0.3133090780903153,0.2933967225172521,0.4044926503022824,0.7308226839409581,0.2932169115150246,0.4448632790429786,0.4839930231364271,0.3081674975470952,0.31165971568932105,0.3809420311873248,0.3395469943720776,0.31698213146051346,0.35270653113049216,0.22121414764004155,0.4129523357631281,0.31020413813467246,0.2947081676586782,0.7266062128595125,0.3854608020782623,0.34508349624738505,0.337916081944485
Gildea HK,0.5577830850504942,0.2971981311019919,0.2661907325779881,0.3714153165559605,0.2106040071124463,0.2460470757593208,0.24092171607219062,0.2976875173069023,0.23475522677009586,0.24624179777557056,0.47738287072293517,0.2809581395824455,0.45223306721144413,0.15680220112627288,0.2881162004034722,0.4101106047159066,1.0000000000000002,0.3840873375972404,0.3627873154336806,0.28042301261358377,0.25730586004903006,0.5771007889892977,0.4505527876064479,0.22858383655426642,0.39055659702951784,0.2551588616436316,0.389290365707729,0.23355509414302622,0.28646462789545585,0.6198989545768452,0.3788546144509825,0.36250748491952467,0.29628120057368,0.5806866635901018,0.32335208645544034,0.1732565404078263,0.2409201484673807,0.35031462249669415,0.3842992332751543,0.858614762082081,0.34711864064879827,0.6375412843804347,0.3520716530318148,0.3991034590422164,0.17965039752728826,0.40562676698804623,0.46813355478093316,0.42282287244860023,0.4680527858149202,0.21006617171149883,0.2968621835628961
Harrington LB,0.6112557247001705,0.3062990472893333,0.33202665231795564,0.29249397595802135,0.44581030250922393,0.5410724680798372,0.3239169560907452,0.35930751438071795,0.4100679058290684,0.5508446878771343,0.25152570084559206,0.3985294439395221,0.334111352652022,0.26835475398780617,0.2903377008944064,0.2475850591452534,0.3840873375972404,1.0,0.25463186856872255,0.5444969742641312,0.341786616879439,0.24002831288597798,0.2625775542996666,0.23897567912967363,0.2103747585300355,0.3682451806841919,0.37580738257618385,0.7012721852395967,0.21868691426317433,0.310549113590199,0.5276587051401285,0.41292534862859376,0.5333018348379159,0.26239915916996537,0.4925092613794447,0.3408622668870304,0.3791601782243412,0.8932122013742184,0.5554002291936293,0.30871939982665475,0.4980297312710919,0.29770218532165393,0.6570340553056141,0.37320290961371394,0.2771429798066509,0.17546194764286102,0.2664139953577128,0.2614784549477469,0.5184018386023231,0.4253157020420718,0.5404815226997012
Harris AR,0.31039622439422776,0.3145475616273585,0.2214252266805026,0.7078161928685239,0.09134705892858366,0.3074925280182502,0.22821058299542024,0.2580965656269383,0.2181283509399575,0.3406775750081503,0.44367507558854324,0.44603820365580493,0.4821137559737252,0.2623830689505678,0.25072569923906785,0.31635180873688284,0.3627873154336806,0.25463186856872255,0.9999999999999997,0.21976305708333685,0.17518676382943682,0.488995660644761,0.3181822030935094,0.23034730522356198,0.5534651073179552,0.2734720080970642,0.27434116687635457,0.22974711987421084,0.6123630086053172,0.36983473077647794,0.4545073381017778,0.47145250520505655,0.27987641528668267,0.3634799933510076,0.4836101028833327,0.2571863470950835,0.28790615349581633,0.2928268107845672,0.3855399269892915,0.42835185666349085,0.3603940636508909,0.3874708023057768,0.2483187765860478,0.7015481820867943,0.6066320589923064,0.5213942804524866,0.4044134269363342,0.3410232397975472,0.287023602661869,0.21583815543903165,0.2758375058020023
Haurwitz RE,0.3401955208835915,0.5061401817079059,0.4210680659073669,0.24886474951956922,0.37035254718698213,0.4327962634054896,0.6109110060115426,0.3872153451548065,0.46076244402474464,0.5907912206959965,0.13579062310919876,0.355149180844427,0.35540275809865424,0.2879701464706926,0.36075735048466145,0.32540581836576277,0.28042301261358377,0.5444969742641312,0.21976305708333685,0.9999999999999999,0.4019274380233163,0.09080461243976894,0.2608025561657153,0.32063470653593656,0.1295175736990108,0.4188468109687859,0.4565659567907817,0.4373496480968733,0.16647455234092648,0.22035568930767305,0.3319523608399688,0.44125601694989103,0.42254587203804317,0.24572325239233234,0.2903562112742733,0.35386690596160586,0.42124732560673384,0.5283389531326578,0.5993870530679041,0.22517445286018573,0.3742882982252396,0.20343578614469857,0.8056783298086526,0.24594671127139958,0.34779070172114346,0.20718281982664416,0.2488866237795704,0.278577267319425,0.40824172455516383,0.6646556717510699,0.6278774699331523
Hershey JW,0.2953727983582601,0.369686393556401,0.4984173634812461,0.22498761109732365,0.44128518169913844,0.32934653022013566,0.6545868964764124,0.5226894074434751,0.6137073889963076,0.42624707582603544,0.20022760730418718,0.32890974355328695,0.4074606769608079,0.4357789027202546,0.8614817137855256,0.46567808612115075,0.25730586004903006,0.341786616879439,0.17518676382943682,0.4019274380233163,1.0000000000000002,0.1396066675885052,0.31187788010868384,0.44542270278076923,0.1784505927185571,0.4860861797080966,0.44268629116945474,0.44569661988018844,0.24103147664996277,0.3503113675384752,0.36369341645537845,0.3663805716316933,0.480028591193388,0.2748071519750118,0.4083319221502589,0.5613126826406446,0.533547905597971,0.36072381331618886,0.33789581670803176,0.22891466889985151,0.38446800924810826,0.18726939294373787,0.4106663902677043,0.2828888598916522,0.4659306835039719,0.0812168629191779,0.22734283966886057,0.3274066724371797,0.46451889728124557,0.39372296703094284,0.3494104440234036
Hirsh A,0.47893595390388055,0.2594226867889674,0.24433428791267892,0.41018664330475574,0.2871975284571689,0.20336942576198525,0.20464383329658836,0.23041602591562405,0.20896610203530505,0.1081147019802447,0.7660003043908049,0.31969425455664735,0.2589019560007828,0.282521017587081,0.1805027057385525,0.4370857834859144,0.5771007889892977,0.24002831288597798,0.488995660644761,0.09080461243976894,0.1396066675885052,1.0,0.2049361177183681,0.23689024148607093,0.551869710098244,0.26401275737586616,0.19095905587301182,0.22727948341013854,0.38545291659077197,0.31369224432684234,0.3589543920541208,0.35028531881573116,0.28404414604103373,0.6033570812566781,0.32553328857193753,0.2045321002125049,0.25204768216473883,0.2712724922270451,0.23543834247583492,0.6167073649956315,0.30818597862824454,0.45860634812438633,0.07870841651893709,0.3208444871387742,0.2793714490670303,0.565596451667735,0.30600414898079353,0.5740569529535223,0.36327133389654254,0.2181896485255678,0.20370184172924075
Hsu PD,0.277462775452336,0.2563676707196341,0.32589970104810917,0.3671868155155279,0.27869952139776233,0.22843022713565972,0.2373278950135432,0.3546962733072329,0.40795919069155,0.34283824253637396,0.24397615826726873,0.2897349920788525,0.5530958779706322,0.2806007606715298,0.34017065620622783,0.33691176517331156,0.4505527876064479,0.2625775542996666,0.3181822030935094,0.2608025561657153,0.31187788010868384,0.2049361177183681,1.0000000000000002,0.23162544755027228,0.2938980870001957,0.37557379318722445,0.30178697278164,0.2481443412855698,0.32837336013226776,0.7092535978960903,0.4478078384557132,0.35702942105042385,0.3103264217026001,0.3216564973607407,0.4053118959073533,0.2990942152089143,0.38989727319865475,0.2957791953507128,0.37329044310094067,0.5399121780836483,0.33439288137363915,0.36558217912777596,0.3542076249434898,0.44722105191741673,0.2927078172088655,0.22820600055325638,0.5764826412778814,0.3170133688460635,0.42878262807386996,0.25313925596122405,0.28279728792659686
Ke A,0.3191772769194179,0.3255434152426324,0.4796309484295206,0.337844288849762,0.4233881458352986,0.4311018998457507,0.38008391291949867,0.5067806899179644,0.6233763724785821,0.43368205381770997,0.27071897010625545,0.2898021178259217,0.3910282172653232,0.4073815246564194,0.4836053507650608,0.3855500510926167,0.22858383655426642,0.23897567912967363,0.23034730522356198,0.32063470653593656,0.44542270278076923,0.23689024148607093,0.23162544755027228,1.0000000000000002,0.18660691166301221,0.47420575296226575,0.4458326877600798,0.4154069203123762,0.31548442639811036,0.2655800125022835,0.3621912030386325,0.32717328902875953,0.5555335915668319,0.2855828391333649,0.33235282613010386,0.47074787112456556,0.5456296246268358,0.3178880713866567,0.343580900888009,0.2370649881785115,0.3571908061998319,0.21100824535535131,0.38367114906180416,0.3256149710238311,0.5302865557184792,0.21957727891195689,0.18514613952237838,0.27567576728082704,0.443129034751922,0.37448791604015813,0.3755397996761728
Khalid MM,0.23655207126343972,0.2621770084697555,0.18113333927121877,0.48831232393497326,0.0802781600317252,0.14172305558235448,0.13743287422964717,0.18474155158116348,0.16854550951809905,0.20325004435994232,0.5102528694996153,0.3054557127456008,0.3708787642817032,0.48289758937271554,0.16842540706003406,0.274467382757121,0.39055659702951784,0.2103747585300355,0.5534651073179552,0.1295175736990108,0.1784505927185571,0.551869710098244,0.2938980870001957,0.18660691166301221,1.0000000000000004,0.21892715426221662,0.12266360454331869,0.10281953840112362,0.6006580427719147,0.34819789305120796,0.2957635888200038,0.2282158370816775,0.26521322646070605,0.379858162636147,0.3426072233883297,0.1799209799682345,0.2339111148712487,0.21364219711317317,0.2550350755744045,0.5022442822273431,0.20409073297501998,0.42215358245171763,0.20317288553497895,0.5156580729229927,0.2831814645286958,0.7859887272248082,0.40267893965754226,0.37636178931549424,0.1824378612378577,0.19060818181454922,0.15780692189329398
